title,content,relevance
"APJAKTU - Detailed Time Table of BHMCT S1 (R&S), S3 (R&S) and S5 (R) Examinations, December 2020 - Notification - reg:"," The Detailed Time Table of BHMCT S1 (R&S), S3 (R&S) and S5 (R) Examinations ,December 2020 is published herewith.
",1
"APJAKTU - Detailed Time Table of B.Des S.1(R,S) & S.3(R) Examinations, December 2020 - Notification - reg:"," The Detailed Time Table of B. Des S.1(R,S) & S.3(R) Examination, December 2020 is published herewith.
",1
"APJAKTU - Detailed Time Tables of B.Arch S.1(R,S), S.3(R,S), S.5(R,S) and S.9(R) Examinations, December 2020 - Notification - reg:"," The Detailed Time Tables of B.Arch S.1(R,S), S.3(R,S), S.5(R,S) and S.9(R)Examinations, December 2020 is published herewith.
",1
KTU Facilitated Infosys Placement Drive for 2021 Pass outs - Late / Incorrect Student DB Submissions,"Supplementary List_infosys_2021 Pass outs
",0
B.Tech - Issuance of Position Certificates - Reg.,,0
Applications are invited to the following posts in the APJ Abdul Kalam Technological University:,,0
"Result published - B.Tech S1,S2 (S) Exam Sept 2020"," It is hereby notified that the result of B.Tech S1,S2 (S) Exam Sept 2020 is published. Please download the Notification for more details.
",1
Result published - B.Tech S7 (S) (PT) Exam Sept 2020," It is hereby notified that the result of B.Tech S7 (S) (PT) Exam Sept 2020 is published. Please download the Notification for more details.
",1
Result published - B.Arch S4 Exam May 2020," It is hereby notified that the result of B.Arch S4 Exam May 2020 is published. Please download the Notification for more details.
",1
"Kerala Looks Ahead, extensive international conference, from February 1, 2021",,0
Revised Schedule for ongoing academic semester,,0
"M.Tech S3 (S) Exam Sept 2020 (Trivandrum, Alappuzha & PTA Clusters) - Publication of Results - Notified - Reg."," The result of  M.Tech S3 (S) Exam Sept 2020 (Trivandrum, Alappuzha & PTA Clusters) is published herewith. The detailed result is available in Student and College login.
",1
APJAKTU - Academic- Recommendations made by the subcommittee of the NSS Advisory Committee - Decisions taken by the Academic Council -Orders issued,,0
APJAKTU - Academic - Grace marks for Sports/Arts Activities - Clarification orders - issued.,,0
"""Kerala Looks Ahead"", international conference and consultation organised by Kerala State Planning Board begins on Feb 1",,0
APJAKTU - Postponement of the course RLMCA107 (Principles of Management) of MCA(Regular)S1(R&S) December 2020 examination - Reg:," I t is hereby notified to the attention of all concerned that the course RLMCA107 (Principles of Management) ofMCA(Regular)S1(R&S) December 2020 examination scheduled on 29.03.2021 stands postponed to 08.04.2021, Thursday,FN.
",1
Cyber  Security Summit 2021 on Feb 27 and 28," Kerala police Cyberdome, Kozhikode, is organizing a virtual ""Cyber  Security Summit 2021"" on February 27 and 28, 2021. The theme of the summit is ""2R Time & Attacks"" (Real-time & Real attacks). The summit aims to improve the cybersecurity skills like threat prevention methods, social engineering Technics identification, Future cyber crimes, advanced persistence threats (APT) etc. The summit is virtual and it's free.
",0
APJAKTU - M.Tech S4(S) Exam Dec 2020 (Calicut Cluster) - Publication of Results - Notified - Reg.," It is hereby notified that the results of M.Tech S4( S) Exam Dec 2020 (Calicut Cluster) arepublished herewith. The detailed results are available under 'Results' tab of the University websiteand in Student and College login.
",1
Inviting Options for appointment of Employees and non teaching staff to the various categories of Posts.," Inviting Options for appointment of Employees and non teaching staff to thevarious categories of Posts sanctioned by the Government at APJ Abdul KalamTechnological University
",0
APJAKTU - GATE 2021 Examination - Revised Time Table Slots of M.Tech S3 (Full Time) and M.Tech S5 (Part-Time) Regular and Supplementary Examinations December 2020 - reg:,,0
APJ Abdul Kalam Technological University proudly partners with with CSI-InApp International Student Project Awards 2021,,0
"APJAKTU - Time Table Slots of B.Tech-2015 scheme S1,S2 (S,FE) Examinations, May 2021 - reg:"," The Time Table Slots of B.Tech-2015 scheme S1,S2 (S,FE) Examinations, May 2021 is published herewith.
",0
MCA (INT) S6 (S) Exam Sept 2020 Publication of Results - Notified - Reg.," The result of MCA (INT) S6 (S) Exam Sept 2020, is published herewith. The detailed result is available in Student and College login.
",1
The Department of Science and Technology calls for proposals under Cognitive Science Research Initiative (CSRI).," Apply by February 15, 2021.
",0
APJAKTU-Infosys Placement Drive: Provisional list of student submitted for verification," The final list will be announced in 2 days.
Provisional List of Students
",1
MBA T3 (S) Exam Oct 2020 MBA T3 (S) (PT) Exam Oct 2020 Publication of Results - Notified - Reg.," The results of MBA T3 (S) Exam Oct 2020, MBA T3 (S) (PT) Exam Oct 2020 are published herewith. The detailed result is available in Student and College login.
",1
APJAKTU-Infosys Placement Drive: List of colleges which have submitted students' data,,0
The Science and Engineering Research Board (SERB) Department of Science and Technology announces Call for Proposals 2021,"Call for Proposal Schedule 
",0
Result published - M.Plan S2 (S) Exam Sept 2020," It is hereby notified that the result of M.Plan S2(S) exam Sept 2020 is published. The detailed results are available under 'Results' tab of the University website and in Student and College login.
",1
Result published - B.Tech S6 (Supplementary) Sept 2020 Exam," It is hereby notified that the result of B.Tech Sixth Semester (Supplementary) Examinations September 2020 (except Comprehensive Exam) is published. The detailed results are available under 'Results' tab of the University website and in Student and College login. Result of Comprehensive Examination will be published on 27.01.2021, Wednesday. Please download Notification for more details.
",1
"The results of M.Tech S1 (S) Exam Oct 2020 (Kollam Cluster) M.Tech  S2 (S) Exam Sept 2020 (Kollam, Thrissur Clusters) M.Tech S3 (S) Exam Sept 2020, (Calicut, Thrissur, Palakkad, Ernakulam I, Ernakulam II, Kannur, Kottayam Clusters) are published herewith."," The detailed result is available in student and college login.
",1
KTU Facilitated Placement drive of Infosys for 2021 Passouts,,0
Notification announcing the extension of last date for completing PhD Registration as part of PhD Admission 2019-20 - Reg,,0
MBA T6 (S) Exam Sept 2020," Result of  MBA T6 (S) Exam Sept 2020 is publishedherewith. The detailed result is available in Student and College login.
",0
Result published - B.Arch S2 Exam May 2020," It is hereby notified that the result of B.Arch S2 Exam May 2020 is published. See attached Notification for more details
",1
Notification - Result declaration," Please see the attached notification
",1
Registration for IGNITE 2021 Innovation Challenge," Darsana, a charitable society run by global Diaspora of Engineers who passed out from NSS College of Engineering, Palakkad, is organizing a start-up competition for students of engineering colleges and polytechnics in Kerala.  The event offers cash awards to 5 best projects and financial and technical support to at least one project to create a start-up.
",0
Computer Society of India is organising a national conference on Deep Learning,,0
APJAKTU - GATE 2021 Examination - Revised Time Table Slots of UG B.Tech S7 Regular and Supplementary Examinations December 2020 - reg:,,0
Examination Centre change - B.Tech S1 (special improvement Exam)," It is hereby informed that students registered for B.Tech S1 (special improvement) Exam Jan 2021 (2019 scheme) can apply for change of examination centre through student login in KTU portal up to 21.01.2021, Thursday.
",1
Exam Registration - B.Tech S7 (supplementary) Exam Dec 2020," It is hereby informed that registration to the Seventh Semester B.Tech Supplementary Examination December 2020 will commence on 21.01.2021, Thursday. Please see the attached notification for more details.
",1
APJAKTU - Time Table slots of Regular & Supplementary December 2020 Examinations of M.Tech (including PT) / M.Arch / M.Plan / MCA - Publishing of - reg.," The Time Table Slots of Regular & Supplementary December 2020 Examinations of M.Tech (including Part-Time) / M.Arch / M.Plan / MCA are published herewith.
",0
APJAKTU - Detailed Time Table of B.Tech S1 Degree (Special Improvement) January 2021 Examinations (2019 scheme) - Notification - Reg,,0
Slot-wise time table published - UG Dec 2020 exams," Slot-wise time table of B.Tech 2015 scheme (including Part-Time), B.Tech 2019 scheme, B.Arch, BHMCT, B.Des Odd Semester Regular & Supplementary Examinations December 2020 is published herewith.
",1
B.Tech S1 (special improvement Exam) - Exam commence on 29.01.2021," It is hereby informed that B.Tech S1 (special improvement) Exam Jan 2021 (2019 scheme) will commence on 29.01.2021, Friday. Detailed Time Table will be published shortly.
",1
Result published - B.Tech S6 (R) and S6 (Part-Time) May 2020," It is hereby notified that the result of B.Tech S6 (R) Exam May 2020 and B.Tech S6 (PT) Exam May 2020 are published. Please see the attached Notification for more details.
",1
Registration opened - B.Tech S1 (special improvement) Exam Jan 2021 (2019 scheme)," It is hereby notified that registration to the S1 B.Tech Degree (Special Improvement) January 2021 Examinations (2019 scheme) will be open upto 16.01.2021, Saturday. Please see the attached Notification for more details
",1
Panel discussion on Changes in Medical Device Industry and Regulations in the Last Five Years," Sahrdaya College of Engineering and Technology in association with APJ Abdul Kalam Technological University and K-DISC organises a panel discussion on Changes in Medical Device Industry and Regulations in the Last Five Years on January 14, 2021.
",0
Grace time for Research institutes/Colleges for correcting credentials of Research Scholars in the University Portal-Reg.,,0
APJAKTU-MBA-T5-Academic Calendar-Reg,,0
Result published - B.Tech S4 (R) and S4 (Part-Time) May 2020," It is hereby notified that the result of B.Tech S4 (R) Exam May 2020 and B.Tech S4 (PT) Exam May 2020 are published. Please see attached Notification for more details. 
Students may note that, it is not required to login to view the results. It can be viewed under ""Results"" tab on the University website.
",1
Orientation Session on Young Innovator Program (YIP)," Orientation Session on Young Innovator Program (YIP), Phase 2 is scheduled on Monday, January 11, 2021 at 3 PM IST
",0
Result published - B.Tech S2 (FE) May 2020 (2015 scheme) and B.Tech S2 (PT) Exam May 2020," It is hereby notified that the result of B.Tech S2 (FE) Exam May 2020 (2015 scheme) and B.Tech S2 (PT) Exam May 2020 are published. Please see the notification for more details
",1
Exam centre change - MCA S1 (S) Exam - Notification," Please see the Notification regarding Examination centre change for MCA S1 (S) Exam October 2020
",1
"Revised Time Table of MCA (Regular) S1 (Supplementary) Examinations, October 2020 - Notification - reg:"," It is hereby notified to the attention of all concerned that the MCA (Regular) S1 (Supplementary)Examinations, October 2020 scheduled to commence from 11.01.2021 have been postponed & the revisedTime Table is published herewith.
",1
Exam Registration opened - MCA S1 supplementary Exam," It is hereby informed that registration is open to students for MCA first semester supplementary examinations October 2020. Students are directed to register and pay the feeat their College offices on or before 07.01.2021, Thursday. Please see attached notification for details
",1
Result of MBA T5(PT) (S) Exam October 2020  and   MBA T5   (S) Exam October 2020   is  published.," The result of  MBA T5(PT) (S) Exam October 2020  andMBA T5  (S) Exam October 2020 is  published  herewith. The result will be available in the result tab of the university website  also.
",1
Postponement of the course INMCA109 - Fundamentals of Accountancy of MCA (Integrated) S1 Supplementary December 2020 examination- Reg:," I t is hereby notified to the information of all concerned that the course INMCA109 - Fundamentals ofAccountancy of MCA (Integrated) S1 Supplementary December 2020 examination scheduled on 14.01.2021 standspostponed to 22.01.2021, Friday (9:30 am - 12:30 pm).
",1
Clarification regarding working hours-staff attendance: regarding,,0
APJAKTU - Academic - Directive of UGC - Constitution of Internal Complaints Committee at affiliated Institutions - Circulated - Reg,,0
"Detailed Time Table of MCA (Regular) S1 Supplementary Examinations, October 2020 - Notification - reg:"," The detailed Time Table of MCA (Regular) S1 Supplementary October 2020 Examinations is published herewith
",1
Valuation Status - B.Tech Sept-Nov 2020 exams," Valuation status of B.Tech supplementary Examinations held during September to November 2020 is published herewith for the information of all concerned.
",1
B.Tech admission - EWS category vacant seats- to be filled by Lateral Entry admission of the subsequent year- Reg.,,0
Fee structure for End Semester Examination - 3 rd Semester B.Tech (2019 Scheme)- regarding.,,0
PhD-Notification for online registration for admission in semester commencing January 2021," Eligible candidates who are willing to take admission in the next semester (January 2021) are directed to start online registration process from 01.01.2021.
",1
APJAKTU - Rejoin to 3rd semester with scheme change - details of transitory courses to study- Orders issued.,,0
"ANERT invites application seeking financial support for carrying out research in various fields of renewable energy under the programme ""Supporting R&D and Innovation (SRI) for the year 2020-21""."," Guidelines, application and project proposal formats for the programme are attached herewith. The research proposals on the topics/problems proposed by ANERT in the prescribed format should reach Director, ANERT before 15th February 2021.
",0
Additional Guidelines / Instructions to Colleges & Students - Dec / Jan Exams," Additional Guidelines / Instructions to Colleges and students regarding the conduct of December 2020 - January 2021 supplementary exams can be downloaded here
",1
Circular - Pending action by Colleges - Delay in publishing even semester results," It is observed that few colleges have not yet submitted the eligibility details of students and Examination registrations of May 2020 lower semester examinations. Due to this issue, the result processing of lower semesters is getting delayed. Details of shortages are intimated and communicated to the Heads of Institutions. However, few Institutions are yet to upload student details even now. Hence, all Institutions are requested to complete the pending action(s) through portal on or before 6PM today itself. Once these details are updated, the result processing will be initiated within no time and results will be published without any further delay.
",1
Comprehensive Exam - Revised Exam Date," Please download the attached Notification regarding the revised exam date for the written part of the Comprehensive exam
",1
Vice Chancellor's Christmas Message,,0
Comprehensive Exam - Result published based on revised oral exam mark," As per the Notification dated 17.10.2020, Colleges were allowed to conduct the oral part of the Comprehensive Examination (XX352) for 2015 and 2016 admissions of B.Tech and B.Tech (Part-time) students who are presently in the ""failed"" status. University has reprocessed and published the results of all students, based on the revised oral exam marks, reported from respective Colleges. Those students who have passed the Comprehensive Examination based on this revised oral exam marks need not attend the forthcoming supplementary written examination for Comprehensive exam (Exam: B.Tech S6 (S) Exam Sept 2020).
",1
MBA - Exam registration date extended - Mercy chance for 2016 admission students," See the attached Notification regarding granting mercy chance for MBA students of 2016 admission
",1
Exam registration opened - B.Tech S7 (Hons.) Exam Dec 2020," It is hereby informed that registration to 7th semester B.Tech (Hons) Examinations December 2020 (2017 admission) will commence on 24.12.2020, Thursday. Students aredirected to register and pay the fee at their College offices on or before 30.12.2020, Wednesday. See attached Notification for more details
",1
Notification regarding maximum mark and duration of exam - of current semester (Aug 2020 - March 2021)," As per the decision of the Academic Council held on 17/12/2020, it is hereby notified that modified exam duration and maximum mark will be applicable only for regular students and students who undergo course repeat. Regarding students who attend examination as supplementary candidates, maximum mark and exam duration will be as per ordinance / regulation. Reduced maximum mark and exam duration will NOT be applicable for such students. Please see attached notification for more details
",1
CoronaSafe Engineering Fellowship from AICTE," CoronaSafe Engineering Fellowship is a national programme to identify the top 30 Indian students in software engineering for industry-led training to become full-stack developers and volunteer as the national engineering leadership cadre for public service.
",0
Lower Semester Examinations of 2019-20 even semester - Manner and Procedure for Evaluation and Assessments- Revised Order issued," Conduct of Lower Semester Examinations of 2019-20 even semesters - Manner and Procedure for Evaluation and Assessments- Revised Order issued:
",0
APJAKTU-Revised academic schedule for ongoing semesters and detailed SOP to be followed by all Institutions-Reg,,0
National Innovation Challenge Awards for Designing and Developing Energy Storage Devices for Rural Household/ Enterprise Application," Refer to the flyer and notification for more details.
",1
Issuance of Degree Certificates ( Degree eligibility through B.Tech Programme S7 (S) SEPTEMBER Examination )," Online request will be opened on 22/12/2020 at 07.00 PM. Requests for certificates will be processed,on the basis of priority of the request number.
",0
Letter from Council of Architecture - Extension of last date of B.Arch admission for the academic year 2020-21-regarding.,,0
"Exam centre change provision is opened - MBA, MCA (Integrated) exams"," It is hereby notified that students appearing for MBA T1 (S) Exam Dec 2020, MBA T2 (S) Exam Dec 2020, MBA T4 (R,S) Exam Nov 2020, MCA Integrated S1 (S) Exam Dec 2020 and MCA (INT) S4 (S) Exam Sept 2020 examinations can apply for change of examination centre through student login in KTU portal. Details are available in attached Notification.
",1
Degree Certificates of B.Tech Programme S8 May 2020 (2016-2020)," Degree Certificates of B.Tech Programme S8 May 2020 (2016-2020) will be issued to students. Online request will be opened on 15/12/2020 at 6.00 PM.
Certificate request from Student Login- User Manual 
",1
Webinar on Carbon Neutral Kerala: An opportunity for socially relevant academic interventions,,0
KTU Researcher of the Year 2019 - Results announced.," Dr. Abhilash Suryan, Assistant Professor, Department of Mechanical Engineering, College of Engineering Trivandrum is selected as KTU Researcher of the year 2019 of APJ Abdul Kalam Technological University (APJKTU)
",0
APJAKTU-REVISED SCHEDULE FOR ONGOING ACADEMIC SEMESTER-REG,,0
"APJAKTU - Detailed Time Tables of MCA Integrated S1 and S4 Supplementary Examinations, December 2020 - Notification - reg:"," The detailed Time Tables of MCA Integrated S1 and S4 SupplementaryDecember 2020 Examinations are published herewith.
",1
Circular regarding examination scheduled (if any) on the day of poll.,,0
"Registration to MBA (Regular and Part-Time), MCA Integrated supplementary examinations December 2020 - Reg."," It is hereby informed that registration to the following MBA (Regular and Part-Time) andMCA Integrated examinations (Supplementary) December 2020 will commence on11.12.2020, Friday. Students are directed to register and pay the fee at their College officeson or before 15.12.2020, Tue
",1
Student Side Pending Fee Payment through students login,"User Manual For Pending Fee Payment by Student
",0
"APJAKTU - Detailed Time Tables of MBA T4 Regular and Supplementary ( including Part Time) Examinations and MBA T7 (Part-Time) Examinations, November 2020 - Notification - reg:"," The detailed Time Tables of MBA T4 Regular and Supplementary (including Part-Time)Examination and MBA T7 (Part-Time) Examination November 2020 are published herewith.
",1
"APJAKTU - Detailed Time Tables of MBA T1 and T2 Supplementary ( including Part Time) Examinations, December 2020 - Notification - reg:"," The detailed Time Tables of MBA T1 and T2 Supplementary December 2020 (including PartTime) Examinations are published herewith.
",0
Minutes of the Meeting  M.Tech  Cluster ( Ernakulam 1 )," Request from the Principal, Toch H Institute of Science & Technology for approval of the eligibility criteria for M.Tech Data Science
",1
M. Plan S2 Supplementary examination September 2020 - Conduct of the course PL6201- Regional Planning and Resource Development of M. Plan (Housing)--Notification," The course PL6201--Regional Planning and Resource Development of M. Plan (Housing) S2 Supplementary Examination, September 2020, is scheduled to be conducted on 11/12/2020.
",1
TCS Hiring initiative for MBA - 2021 Pass outs,,0
Returning document to students who discontinued Programme prior to Registration - Reg,,0
STUDENT INDUCTION PROGRAM," Regular classes are scheduled to commence from 30th Nov 2020 and the Induction Programme is for the first week, from 30th Nov to 5th Dec. as per the detailed notification
",0
B.Tech S7 (Supplementary) Exam Sept 2020 - Result published," It is hereby notified that the result of B.Tech Seventh semester (supplementary) Examinations September 2020 is published. The detailed results are available under 'Results' tab of the University website and in Student and College login. Date of opening for request submission and fee payment of Revaluation and Answer book copy can be seen in Notification attached
",1
Notification--Tentative dates for declaration of pending results--Published," The tentative dates for the declaration of results of various examinations held by the University and distribution of certificates are published herewith for the information of all concerned.
Pending Results-Notification
",1
"Ted Kerala, KDISC Talk Series","Date:25th Novemebr,2020
",0
IIT Kanpur offers 2 free online courses on Data Science," IIT Kanpur offers 2 free online courses on Data Science. The courses will be for a duration of 12 weeks and will be open to both undergraduates and postgraduates. The course is free to enrol. But to get a certificate, students will have to register and write the proctored exam conducted by IIT Kanpur in person at any of the designated exam centres.The exam is optional for a fee of Rs 1000/. Important datesCommencement date: 18 January 2021End of enrolment: 25 January 2021End date: 9 April 2021Exam Date: 24 April 2021
To enrol for the courses, click here:
",0
APJAKTU - Academic - Additional Baskets in Minor/Honours for Production Engineering - approved - Orders issued,,0
KEAM 2020 Prospectus - B.Arch admission - condition amended- regarding.,,0
Valuation Status - B.Tech S7 (Supplementary) Exam," Valuation Status of B.Tech 7th semester supplementary exam is published herewith.
",1
Restriction to visitors in the University," In view of a staff tested positive for COVID19,entry of visitors in the University is restricted for one week. All the students, general public and other stake holders aretherefore requested to utilize the online service provided in the official website.
",0
Webinar on Industry Academia Collaboration for Fourth Industrial Revolution,,0
Temporarily unavailable - Contact number of E-Governance section," Due to some technical reasons, the contact numbers of the E-Governance section are not working. Therefore, you are requested to kindly contact the section via email id support@ktu.edu.in. This new arrangement will be in place until a further notice.
",0
APJAKTU - Academic - Minor in Mathematics - basket of 5 courses - approved - Orders issued.,,0
LIST OF CANDIDATES SELECTED FOR AICTE DOCTORAL FELLOWSHIP 2020-21," List of candidates selected for AICTE Doctoral Fellowship 2020-21 is attached herewith.
",0
Valuation Status - B.Tech S7 (S) Exam Sept 2020," Please see the attached Letter to Principals and the status of valuation of B.Tech S7 (S) Exam Sept 2020
Valuation Status and Letter to Principals
",1
Result of   MTech S4(RS) Exam May 2020(Extended Submission)  is published.," The results of  MTech S4(RS) Exam May 2020(Extended Submission) is published  herewith. The result will be available in the result tab of the university website  also.
",1
," KTU nominated faculty judges for Finastra Hackathon in which KTU is partnering as an Academic Partner.
",0
Course registration - date extended," Last date for submission of course registration (for both students and Colleges) of all programmes is extended upto 20.11.2020. The details of reimbursement of examination fee already collected by the University for the previous semester exam registrations will be intimated soon.
",1
B Tech Contact course registration-Reg," It is hereby notified that registration to contact course will be opened in portal from 02.11.2020, Mondayto 07.11.2020, Saturday. Eligible students are directed to contact College office and registration throughportal can be done through College login. Exam fee will be Rs.200/- for the course.Last date for registration and fee payment at College office will be 07.11.2020, Saturday. Late requests forregistration will not be allowed.Date of contact course examination will be informed later.
",1
syllabus of MCA Bridge course," Academics- Syllabus and Minutes of of Curriculum Committee for MCA Bridge Course - approved -orders issued.
",0
Webinar on ''How to maximize employment potential while graduating in Corona Times?''," Industry Attachment Cell, KTU is organizing an interactive session for students esp. 2021 Pass outs, Faculty members and Placement Officers on maximizing employment potential of students esp. in the context of covid.Webinar DetailsTitle: How to maximize employment potential while graduating in Corona Times?Date / Time: Friday, November 5, 2020 at 2 PM IST Speakers:1. Dr. Rajasree M.S, Hon. Vice-Chancellor, APJ Abdul Kalam Technological University2. Dr. MuraleeThummarukudy, Operations Manager, Crisis Management Branch, United Nations Environment Programme3. Ms. Neeraja Janaki, Career Counselor and Life Coach, Mentorz4uRegistration link: https://tinyurl.com/apjaktu2021
",0
